Realisation,Zone,SegmentID,Facies,BulkOil,PoreOil,HydrocarbonPoreOil,Oil,AssociatedGas,BulkGas,PoreGas,HydrocarbonPoreGas,Gas,AssociatedLiquid,Bulk,Pore
1,Valysar,CentralRamp,Coal,1916293.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1916293.901,0.000
1,Valysar,CentralHorst,Floodplain,35808238.390,3508966.249,574169.091,400396.864,56375879.779,0.000,0.000,0.000,0.000,0.000,43533883.234,4166702.361
1,Valysar,CentralHorst,Channel,25741703.262,7186962.263,6782900.932,4730056.541,665991975.501,0.000,0.000,0.000,0.000,0.000,31565871.616,8738071.836
1,Valysar,CentralHorst,Crevasse,8491969.222,1788387.225,1326077.785,924740.455,130203459.035,0.000,0.000,0.000,0.000,0.000,11021918.837,2308485.960
1,Valysar,CentralHorst,Coal,10797188.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15261764.777,0.000
1,Valysar,EastLowland,Floodplain,122802.785,11544.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107193737.753,8355156.623
1,Valysar,EastLowland,Channel,228165.393,67379.082,39349.538,27440.404,3863608.939,0.000,0.000,0.000,0.000,0.000,81416998.500,20659694.889
1,Valysar,EastLowland,Crevasse,59389.956,12423.256,4991.640,3480.920,490113.595,0.000,0.000,0.000,0.000,0.000,35429040.241,6973597.046
1,Valysar,EastLowland,Coal,22675.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39315721.723,0.000
2,Valysar,WestLowland,Floodplain,1216406.393,120876.407,6266.711,4370.091,615308.860,0.000,0.000,0.000,0.000,0.000,220903569.222,21767002.056
2,Valysar,WestLowland,Channel,2550085.457,673328.746,587145.157,409445.725,57649959.232,0.000,0.000,0.000,0.000,0.000,177897045.910,46726450.880
2,Valysar,WestLowland,Crevasse,696757.366,155019.783,100430.351,70035.114,9860944.246,0.000,0.000,0.000,0.000,0.000,68625649.107,13932933.466
2,Valysar,WestLowland,Coal,552776.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62322202.995,0.000
2,Valysar,CentralSouth,Floodplain,23048252.008,2400961.703,110323.395,76934.029,10832311.517,0.000,0.000,0.000,0.000,0.000,61833630.571,6134454.260
2,Valysar,CentralSouth,Channel,20324697.945,5477609.037,4926687.588,3435626.006,483736152.046,0.000,0.000,0.000,0.000,0.000,34994853.846,9397348.367
2,Valysar,CentralSouth,Crevasse,6392862.006,1339406.908,892719.857,622538.268,87653390.254,0.000,0.000,0.000,0.000,0.000,16656155.919,3426141.636
2,Valysar,CentralSouth,Coal,7309306.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17723346.851,0.000
2,Valysar,CentralNorth,Floodplain,15994580.482,1549855.630,139814.468,97499.631,13727948.349,0.000,0.000,0.000,0.000,0.000,45107684.068,4058987.130
2,Valysar,CentralNorth,Channel,8981674.846,2376127.460,2137730.264,1490746.381,209897095.040,0.000,0.000,0.000,0.000,0.000,24438885.852,6442508.657
2,Valysar,CentralNorth,Crevasse,2733479.141,572617.757,398509.357,277900.534,39128396.087,0.000,0.000,0.000,0.000,0.000,12529817.099,2561345.028
2,Valysar,CentralNorth,Coal,5602041.562,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19229760.811,0.000
2,Valysar,NorthHorst,Floodplain,1584388.442,150000.337,3976.047,2442.289,478444.408,6825382.188,673495.680,139476.957,32436501.222,4962.785,14726674.401,1420779.214
2,Valysar,NorthHorst,Channel,541998.009,140882.527,121255.009,74480.962,14590820.032,5840259.147,1529572.494,1468687.848,341555308.286,52257.962,11125296.607,2910472.300
2,Valysar,NorthHorst,Crevasse,468578.291,100920.147,64511.233,39626.063,7762745.583,3834114.836,813240.671,672959.858,156502290.235,23944.851,6387980.254,1338568.854
2,Valysar,NorthHorst,Coal,1250776.209,0.000,0.000,0.000,0.000,8202929.916,0.000,0.000,0.000,0.000,12268762.905,0.000
2,Valysar,CentralRamp,Floodplain,7155952.964,732978.829,111255.504,77584.035,10923832.399,0.000,0.000,0.000,0.000,0.000,7155952.964,732978.829
2,Valysar,CentralRamp,Channel,2110775.852,583501.592,550018.581,383555.505,54004616.195,0.000,0.000,0.000,0.000,0.000,2110775.852,583501.592
2,Valysar,CentralRamp,Crevasse,1947797.716,431731.321,339859.389,237000.974,33369737.852,0.000,0.000,0.000,0.000,0.000,1947797.716,431731.321
2,Valysar,CentralRamp,Coal,1916293.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1916293.901,0.000
2,Valysar,CentralHorst,Floodplain,35808238.390,3508966.249,574169.091,400396.864,56375879.779,0.000,0.000,0.000,0.000,0.000,43533883.234,4166702.361
2,Valysar,CentralHorst,Channel,25741703.262,7186962.263,6782900.932,4730056.541,665991975.501,0.000,0.000,0.000,0.000,0.000,31565871.616,8738071.836
2,Valysar,CentralHorst,Crevasse,8491969.222,1788387.225,1326077.785,924740.455,130203459.035,0.000,0.000,0.000,0.000,0.000,11021918.837,2308485.960
2,Valysar,CentralHorst,Coal,10797188.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15261764.777,0.000
2,Valysar,EastLowland,Floodplain,122802.785,11544.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107193737.753,8355156.623
2,Valysar,EastLowland,Channel,228165.393,67379.082,39349.538,27440.404,3863608.939,0.000,0.000,0.000,0.000,0.000,81416998.500,20659694.889
2,Valysar,EastLowland,Crevasse,59389.956,12423.256,4991.640,3480.920,490113.595,0.000,0.000,0.000,0.000,0.000,35429040.241,6973597.046
2,Valysar,EastLowland,Coal,22675.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39315721.723,0.000
3,Valysar,WestLowland,Floodplain,1216406.393,120876.407,6266.711,4370.091,615308.860,0.000,0.000,0.000,0.000,0.000,220903569.222,21767002.056
3,Valysar,WestLowland,Channel,2550085.457,673328.746,587145.157,409445.725,57649959.232,0.000,0.000,0.000,0.000,0.000,177897045.910,46726450.880
3,Valysar,WestLowland,Crevasse,696757.366,155019.783,100430.351,70035.114,9860944.246,0.000,0.000,0.000,0.000,0.000,68625649.107,13932933.466
3,Valysar,WestLowland,Coal,552776.938,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,62322202.995,0.000
3,Valysar,CentralSouth,Floodplain,23048252.008,2400961.703,110323.395,76934.029,10832311.517,0.000,0.000,0.000,0.000,0.000,61833630.571,6134454.260
3,Valysar,CentralSouth,Channel,20324697.945,5477609.037,4926687.588,3435626.006,483736152.046,0.000,0.000,0.000,0.000,0.000,34994853.846,9397348.367
3,Valysar,CentralSouth,Crevasse,6392862.006,1339406.908,892719.857,622538.268,87653390.254,0.000,0.000,0.000,0.000,0.000,16656155.919,3426141.636
3,Valysar,CentralSouth,Coal,7309306.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,17723346.851,0.000
3,Valysar,CentralNorth,Floodplain,15994580.482,1549855.630,139814.468,97499.631,13727948.349,0.000,0.000,0.000,0.000,0.000,45107684.068,4058987.130
3,Valysar,CentralNorth,Channel,8981674.846,2376127.460,2137730.264,1490746.381,209897095.040,0.000,0.000,0.000,0.000,0.000,24438885.852,6442508.657
3,Valysar,CentralNorth,Crevasse,2733479.141,572617.757,398509.357,277900.534,39128396.087,0.000,0.000,0.000,0.000,0.000,12529817.099,2561345.028
3,Valysar,CentralNorth,Coal,5602041.562,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,19229760.811,0.000
3,Valysar,NorthHorst,Floodplain,1584388.442,150000.337,3976.047,2442.289,478444.408,6825382.188,673495.680,139476.957,32436501.222,4962.785,14726674.401,1420779.214
3,Valysar,NorthHorst,Channel,541998.009,140882.527,121255.009,74480.962,14590820.032,5840259.147,1529572.494,1468687.848,341555308.286,52257.962,11125296.607,2910472.300
3,Valysar,NorthHorst,Crevasse,468578.291,100920.147,64511.233,39626.063,7762745.583,3834114.836,813240.671,672959.858,156502290.235,23944.851,6387980.254,1338568.854
3,Valysar,NorthHorst,Coal,1250776.209,0.000,0.000,0.000,0.000,8202929.916,0.000,0.000,0.000,0.000,12268762.905,0.000
3,Valysar,CentralRamp,Floodplain,7155952.964,732978.829,111255.504,77584.035,10923832.399,0.000,0.000,0.000,0.000,0.000,7155952.964,732978.829
3,Valysar,CentralRamp,Channel,2110775.852,583501.592,550018.581,383555.505,54004616.195,0.000,0.000,0.000,0.000,0.000,2110775.852,583501.592
3,Valysar,CentralRamp,Crevasse,1947797.716,431731.321,339859.389,237000.974,33369737.852,0.000,0.000,0.000,0.000,0.000,1947797.716,431731.321
3,Valysar,CentralRamp,Coal,1916293.901,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1916293.901,0.000
3,Valysar,CentralHorst,Floodplain,35808238.390,3508966.249,574169.091,400396.864,56375879.779,0.000,0.000,0.000,0.000,0.000,43533883.234,4166702.361
3,Valysar,CentralHorst,Channel,25741703.262,7186962.263,6782900.932,4730056.541,665991975.501,0.000,0.000,0.000,0.000,0.000,31565871.616,8738071.836
3,Valysar,CentralHorst,Crevasse,8491969.222,1788387.225,1326077.785,924740.455,130203459.035,0.000,0.000,0.000,0.000,0.000,11021918.837,2308485.960
3,Valysar,CentralHorst,Coal,10797188.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,15261764.777,0.000
3,Valysar,EastLowland,Floodplain,122802.785,11544.735,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,107193737.753,8355156.623
3,Valysar,EastLowland,Channel,228165.393,67379.082,39349.538,27440.404,3863608.939,0.000,0.000,0.000,0.000,0.000,81416998.500,20659694.889
3,Valysar,EastLowland,Crevasse,59389.956,12423.256,4991.640,3480.920,490113.595,0.000,0.000,0.000,0.000,0.000,35429040.241,6973597.046
3,Valysar,EastLowland,Coal,22675.599,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,39315721.723,0.000
